time: 2021-01-22 16:44:48,296---ERROR:root:用例失败：assert 1 == 2---test_register.py---25
time: 2021-01-26 11:52:42,205---ERROR:root:用例失败：assert 0 == 1---test_register.py---47
time: 2021-01-26 11:52:42,399---ERROR:root:用例失败：assert 0 == 2---test_register.py---47
time: 2021-01-26 11:52:42,788---ERROR:root:用例失败：assert 0 == 2---test_register.py---47
time: 2021-01-26 11:52:42,943---ERROR:root:用例失败：assert 0 == 1---test_register.py---47
time: 2021-01-26 11:52:43,172---ERROR:root:用例失败：assert 0 == 2---test_register.py---47
time: 2021-01-26 12:22:29,427---ERROR:root:用例失败：assert 2 == 0---test_register.py---47
time: 2021-01-26 12:22:31,840---ERROR:root:用例失败：assert 2 == 0---test_register.py---47
time: 2021-01-26 12:22:32,113---ERROR:root:用例失败：assert 2 == 0---test_register.py---47
time: 2021-01-26 12:22:32,322---ERROR:root:用例失败：assert 2 == 0---test_register.py---47
time: 2021-01-26 12:22:32,580---ERROR:root:用例失败：assert 2 == 0---test_register.py---47
time: 2021-01-26 12:22:32,826---ERROR:root:用例失败：assert 2 == 0---test_register.py---47
time: 2021-01-26 12:22:33,051---ERROR:root:用例失败：assert 2 == 0---test_register.py---47
time: 2021-01-26 12:22:33,249---ERROR:root:用例失败：assert 2 == 0---test_register.py---47
time: 2021-01-26 12:22:33,598---ERROR:root:用例失败：assert 2 == 0---test_register.py---47
time: 2021-01-26 14:17:02,657---ERROR:root:用例失败：assert 2 == 0---test_register.py---48
time: 2021-01-26 14:17:05,286---ERROR:root:用例失败：assert 2 == 0---test_register.py---48
time: 2021-01-26 14:17:05,487---ERROR:root:用例失败：assert 2 == 0---test_register.py---48
time: 2021-01-26 14:17:05,685---ERROR:root:用例失败：assert 2 == 0---test_register.py---48
time: 2021-01-26 14:17:05,883---ERROR:root:用例失败：assert 2 == 0---test_register.py---48
time: 2021-01-26 14:17:06,089---ERROR:root:用例失败：assert 2 == 0---test_register.py---48
time: 2021-01-26 14:17:06,307---ERROR:root:用例失败：assert 2 == 0---test_register.py---48
time: 2021-01-26 14:17:06,522---ERROR:root:用例失败：assert 2 == 0---test_register.py---48
time: 2021-01-26 14:17:06,858---ERROR:root:用例失败：assert 2 == 0---test_register.py---48
time: 2021-01-27 10:38:49,945---ERROR:root:用例失败：assert 2 == 0---test_register.py---56
time: 2021-01-27 10:38:50,205---ERROR:root:用例失败：assert 2 == 0---test_register.py---56
time: 2021-01-27 10:38:50,418---ERROR:root:用例失败：assert 2 == 0---test_register.py---56
time: 2021-01-27 10:38:50,627---ERROR:root:用例失败：assert 2 == 0---test_register.py---56
time: 2021-01-27 10:38:50,844---ERROR:root:用例失败：assert 2 == 0---test_register.py---56
time: 2021-01-27 10:38:51,057---ERROR:root:用例失败：assert 2 == 0---test_register.py---56
time: 2021-01-27 10:38:51,265---ERROR:root:用例失败：assert 2 == 0---test_register.py---56
time: 2021-01-27 10:38:51,642---ERROR:root:用例失败：assert 2 == 0---test_register.py---56
time: 2021-01-27 10:46:34,095---ERROR:root:用例失败：assert 0 == 2---test_register.py---56
time: 2021-01-28 15:45:15,075---ERROR:root:用例失败：assert 1001 == 2---test_login.py---32
time: 2021-01-28 15:45:15,357---ERROR:root:用例失败：assert 1001 == 0---test_login.py---32
time: 2021-01-28 15:45:34,034---ERROR:root:用例失败：assert 1001 == 2---test_login.py---32
time: 2021-01-28 15:45:34,306---ERROR:root:用例失败：assert 1001 == 0---test_login.py---32
time: 2021-01-28 16:08:04,014---ERROR:root:用例失败：assert 1001 == 2---test_login.py---32
time: 2021-01-28 16:08:04,431---ERROR:root:用例失败：assert 1001 == 0---test_login.py---32
time: 2021-01-28 16:19:38,524---ERROR:root:用例失败：assert 1001 == 2---test_login.py---32
time: 2021-01-28 16:19:38,812---ERROR:root:用例失败：assert 1001 == 0---test_login.py---32
time: 2021-01-28 16:20:10,749---ERROR:root:用例失败：assert 1001 == 2---test_login.py---32
time: 2021-01-28 16:20:11,014---ERROR:root:用例失败：assert 1001 == 0---test_login.py---32
time: 2021-01-28 16:20:20,112---ERROR:root:用例失败：assert 1001 == 2---test_login.py---32
time: 2021-01-28 16:20:20,400---ERROR:root:用例失败：assert 1001 == 0---test_login.py---32
time: 2021-01-28 16:21:34,225---ERROR:root:用例失败：assert 1001 == 2---test_login.py---32
time: 2021-01-28 16:21:34,522---ERROR:root:用例失败：assert 1001 == 0---test_login.py---32
time: 2021-01-28 17:10:39,111---ERROR:root:用例失败：assert 1001 == 2---test_login.py---36
time: 2021-01-28 17:10:39,490---ERROR:root:用例失败：assert 1001 == 2---test_login.py---36
time: 2021-01-28 17:10:39,673---ERROR:root:用例失败：assert 1001 == 0---test_login.py---36
time: 2021-01-28 17:16:31,916---ERROR:root:用例失败：assert 1001 == 0---test_login.py---36
time: 2021-01-28 17:28:38,556---ERROR:root:用例失败：assert 1001 == 0---test_login.py---36
time: 2021-01-28 17:45:06,794---ERROR:root:用例失败：assert 1001 == 0---test_login.py---39
time: 2021-01-28 17:45:16,513---ERROR:root:用例失败：assert 1001 == 0---test_login.py---39
time: 2021-01-28 17:54:10,611---ERROR:root:用例失败：assert 1001 == 0---test_login.py---39
time: 2021-01-29 10:20:37,171---ERROR:root:用例失败：assert 0 == 2---test_register.py---59
time: 2021-01-29 11:01:39,036---ERROR:root:用例失败：assert 1001 == 0---test_login.py---39
time: 2021-01-29 11:05:13,212---ERROR:root:用例失败：assert 1001 == 0---test_login.py---39
time: 2021-01-31 22:45:59,511---ERROR:root:用例失败：assert 2 == 1---test_recharge.py---32
time: 2021-01-31 22:47:17,986---ERROR:root:用例失败：assert 2 == 1---test_recharge.py---32
time: 2021-01-31 22:55:58,601---ERROR:root:用例失败：assert 1007 == 2---test_recharge.py---34
time: 2021-02-03 14:08:05,757---INFO:root:这是一条日志信息---logger_hander.py---46
time: 2021-02-03 14:08:05,763---ERROR:root:这是一条错误日志---logger_hander.py---48
